item_id,name,category,price,link,short_description,designer,basic_color,furniture
20382324,MAMMUT,Children's furniture,29,https://www.ikea.com/sa/en/p/mammut-childrens-stool-in-outdoor-yellow-20382324/,        Children's stool,M Kjelstrup/A Östgaard,yellow,stool
29042877,TROFAST,Children's furniture,365,https://www.ikea.com/sa/en/p/trofast-storage-combination-white-s29042877/,"        Storage combination,          99x44x94 cm",Studio Copenhagen,white,other
40365366,MAMMUT,Children's furniture,59,https://www.ikea.com/sa/en/p/mammut-childrens-chair-in-outdoor-red-40365366/,        Children's chair,M Kjelstrup/A Östgaard,red,chair
60248418,FÖRSIKTIG,Children's furniture,15,https://www.ikea.com/sa/en/p/foersiktig-childrens-stool-white-green-60248418/,        Children's stool,K Hagberg/M Hagberg,white,stool
60365167,MAMMUT,Children's furniture,129,https://www.ikea.com/sa/en/p/mammut-childrens-table-in-outdoor-red-60365167/,"        Children's table,          77x55 cm",M Kjelstrup/A Östgaard,red,table
70392542,STRANDMON,Children's furniture,495,https://www.ikea.com/sa/en/p/strandmon-childrens-armchair-vissle-grey-70392542/,        Children's armchair,IKEA of Sweden,grey,chair
30213076,MICKE,Children's furniture,175,https://www.ikea.com/sa/en/p/micke-desk-white-30213076/,"        Desk,          73x50 cm",Henrik Preutz,white,desk
80201740,SUNDVIK,Children's furniture,245,https://www.ikea.com/sa/en/p/sundvik-rocking-chair-white-80201740/,        Rocking-chair,Eva Schildt,white,chair
50298418,FLISAT,Children's furniture,349,https://www.ikea.com/sa/en/p/flisat-childrens-table-50298418/,"        Children's table,          83x58 cm",S Fager/J Karlsson,other,table
60306494,PÅHL,Children's furniture,125,https://www.ikea.com/sa/en/p/pahl-desk-top-shelf-white-green-60306494/,"        Desk top shelf,          64x60 cm",S Fager/J Jelinek,white,shelf
70441769,ÖRFJÄLL,Children's furniture,195,https://www.ikea.com/sa/en/p/oerfjaell-childrens-desk-chair-white-vissle-pink-70441769/,        Children's desk chair,S Holmbäck/U Nordentoft,white,desk
9903014,MICKE,Children's furniture,451,https://www.ikea.com/sa/en/p/micke-desk-white-s09903014/,"        Desk,          105x50 cm",Henrik Preutz,white,desk
79898306,TROFAST,Children's furniture,155,https://www.ikea.com/sa/en/p/trofast-wall-storage-white-white-s79898306/,"        Wall storage,          99x21x30 cm",Studio Copenhagen,white,other
90116553,POÄNG,Children's furniture,179,https://www.ikea.com/sa/en/p/poaeng-childrens-armchair-birch-veneer-almas-natural-90116553/,        Children's armchair,Noboru Nakamura,other,chair
50365361,MAMMUT,Children's furniture,29,https://www.ikea.com/sa/en/p/mammut-childrens-stool-in-outdoor-orange-50365361/,        Children's stool,M Kjelstrup/A Östgaard,orange,stool
10407136,IKEA PS LÖMSK,Children's furniture,345,https://www.ikea.com/sa/en/p/ikea-ps-loemsk-swivel-armchair-white-red-10407136/,        Swivel armchair,Monika Mulder,white,chair
10362963,SLÄKT,Children's furniture,425,https://www.ikea.com/sa/en/p/slaekt-pouffe-mattress-foldable-10362963/,"        Pouffe/mattress, foldable",Gustav Carlberg,other,other
89228472,TROFAST,Children's furniture,350,https://www.ikea.com/sa/en/p/trofast-storage-combination-white-green-s89228472/,"        Storage combination,          99x44x56 cm",Studio Copenhagen,white,other
10201673,SUNDVIK,Children's furniture,175,https://www.ikea.com/sa/en/p/sundvik-childrens-table-white-10201673/,"        Children's table,          76x50 cm",IKEA of Sweden,white,table
19102659,TROFAST,Children's furniture,395,https://www.ikea.com/sa/en/p/trofast-storage-combination-light-white-stained-pine-pine-white-s19102659/,"        Storage combination,          94x44x52 cm",Studio Copenhagen,white,other
10243574,BUSA,Children's furniture,49,https://www.ikea.com/sa/en/p/busa-childrens-tent-10243574/,        Children's tent,Maria Vinka,other,other
80213074,MICKE,Children's furniture,276,https://www.ikea.com/sa/en/p/micke-desk-white-80213074/,"        Desk,          105x50 cm",Henrik Preutz,white,desk
39252756,STUVA / FRITIDS,Children's furniture,425,https://www.ikea.com/sa/en/p/stuva-fritids-wardrobe-white-white-s39252756/,"        Wardrobe,          60x50x128 cm",IKEA of Sweden/Ebba Strandmark,white,wardrobe
59252637,STUVA / FRITIDS,Children's furniture,395,https://www.ikea.com/sa/en/p/stuva-fritids-bench-with-toy-storage-white-white-s59252637/,"        Bench with toy storage,          90x50x50 cm",Ebba Strandmark,white,bench
99228570,TROFAST,Children's furniture,195,https://www.ikea.com/sa/en/p/trofast-storage-combination-white-pink-s99228570/,"        Storage combination,          46x30x94 cm",Studio Copenhagen,white,other
80290779,FLISAT,Children's furniture,139,https://www.ikea.com/sa/en/p/flisat-childrens-bench-adjustable-80290779/,        Children's bench,Sarah Fager,other,table
60196358,SUNDVIK,Children's furniture,125,https://www.ikea.com/sa/en/p/sundvik-childrens-chair-white-60196358/,        Children's chair,IKEA of Sweden,white,chair
70228325,RESÖ,Children's furniture,205,https://www.ikea.com/sa/en/p/resoe-childrens-picnic-table-grey-brown-stained-grey-brown-70228325/,        Children's picnic table,IKEA of Sweden,brown,table
49102304,TROFAST,Children's furniture,195,https://www.ikea.com/sa/en/p/trofast-wall-storage-light-white-stained-pine-pine-white-s49102304/,"        Wall storage,          93x21x30 cm",Studio Copenhagen/Mia Lagerman,white,other
